***Disclaimers		
"*Discontinued procedure and modifier codes will appear in the HCPCS file for four years to facilitate claims processing.  After four years, these procedure and "		
   modifier codes will no longer appear.  		
		
HCPC	LONG DESCRIPTION	SHORT DESCRIPTION
J9219	"Leuprolide acetate implant, 65 mg"	Leuprolide acetate implant
J9225	"Histrelin implant (vantas), 50 mg"	Vantas implant
J9226	"Histrelin implant (supprelin la), 50 mg"	Supprelin la implant
J9228	"Injection, ipilimumab, 1 mg"	Ipilimumab injection
J9230	"Injection, mechlorethamine hydrochloride, (nitrogen mustard), 10 mg"	Mechlorethamine hcl inj
J9245	"Injection, melphalan hydrochloride, 50 mg"	Inj melphalan hydrochl 50 mg
J9250	"Methotrexate sodium, 5 mg"	Methotrexate sodium inj
J9260	"Methotrexate sodium, 50 mg"	Methotrexate sodium inj
J9261	"Injection, nelarabine, 50 mg"	Nelarabine injection
J9262	"Injection, omacetaxine mepesuccinate, 0.01 mg"	"Inj, omacetaxine mep, 0.01mg"
J9263	"Injection, oxaliplatin, 0.5 mg"	Oxaliplatin
J9264	"Injection, paclitaxel protein-bound particles, 1 mg"	Paclitaxel protein bound
J9265	"Injection, paclitaxel, 30 mg"	Paclitaxel injection
J9266	"Injection, pegaspargase, per single dose vial"	Pegaspargase injection
J9267	"Injection, paclitaxel, 1 mg"	Paclitaxel injection
J9268	"Injection, pentostatin, 10 mg"	Pentostatin injection
J9270	"Injection, plicamycin, 2.5 mg"	Plicamycin (mithramycin) inj
J9271	"Injection, pembrolizumab, 1 mg"	Inj pembrolizumab
J9280	"Injection, mitomycin, 5 mg"	Mitomycin injection
J9285	"Injection, olaratumab, 10 mg"	"Inj, olaratumab, 10 mg"
J9293	"Injection, mitoxantrone hydrochloride, per 5 mg"	Mitoxantrone hydrochl / 5 mg
J9295	"Injection, necitumumab, 1 mg"	"Injection, necitumumab, 1 mg"
J9299	"Injection, nivolumab, 1 mg"	"Injection, nivolumab"
J9300	"Injection, gemtuzumab ozogamicin, 5 mg"	Gemtuzumab ozogamicin inj
J9301	"Injection, obinutuzumab, 10 mg"	Obinutuzumab inj
J9302	"Injection, ofatumumab, 10 mg"	Ofatumumab injection
J9303	"Injection, panitumumab, 10 mg"	Panitumumab injection
J9305	"Injection, pemetrexed, 10 mg"	Pemetrexed injection
J9306	"Injection, pertuzumab, 1 mg"	"Injection, pertuzumab, 1 mg"
J9307	"Injection, pralatrexate, 1 mg"	Pralatrexate injection
J9308	"Injection, ramucirumab, 5 mg"	"Injection, ramucirumab"
J9310	"Injection, rituximab, 100 mg"	Rituximab injection
J9315	"Injection, romidepsin, 1 mg"	Romidepsin injection
J9320	"Injection, streptozocin, 1 gram"	Streptozocin injection
J9325	"Injection, talimogene laherparepvec, per 1 million plaque forming units"	Inj talimogene laherparepvec
J9328	"Injection, temozolomide, 1 mg"	Temozolomide injection
J9330	"Injection, temsirolimus, 1 mg"	Temsirolimus injection
J9340	"Injection, thiotepa, 15 mg"	Thiotepa injection
J9351	"Injection, topotecan, 0.1 mg"	Topotecan injection
J9352	"Injection, trabectedin, 0.1 mg"	Injection trabectedin 0.1mg
J9354	"Injection, ado-trastuzumab emtansine, 1 mg"	"Inj, ado-trastuzumab emt 1mg"
J9355	"Injection, trastuzumab, 10 mg"	Trastuzumab injection
J9357	"Injection, valrubicin, intravesical, 200 mg"	Valrubicin injection
J9360	"Injection, vinblastine sulfate, 1 mg"	Vinblastine sulfate inj
J9370	"Vincristine sulfate, 1 mg"	Vincristine sulfate 1 mg inj
J9371	"Injection, vincristine sulfate liposome, 1 mg"	"Inj, vincristine sul lip 1mg"
J9390	"Injection, vinorelbine tartrate, 10 mg"	Vinorelbine tartrate inj
J9395	"Injection, fulvestrant, 25 mg"	"Injection, fulvestrant"
J9400	"Injection, ziv-aflibercept, 1 mg"	"Inj, ziv-aflibercept, 1mg"
J9600	"Injection, porfimer sodium, 75 mg"	Porfimer sodium injection
J9999	"Not otherwise classified, antineoplastic drugs"	Chemotherapy drug
K0001	Standard wheelchair	Standard wheelchair
K0002	Standard hemi (low seat) wheelchair	Stnd hemi (low seat) whlchr
K0003	Lightweight wheelchair	Lightweight wheelchair
K0004	"High strength, lightweight wheelchair"	High strength ltwt whlchr
K0005	Ultralightweight wheelchair	Ultralightweight wheelchair
K0006	Heavy duty wheelchair	Heavy duty wheelchair
K0007	Extra heavy duty wheelchair	Extra heavy duty wheelchair
K0008	Custom manual wheelchair/base	Cstm manual wheelchair/base
K0009	Other manual wheelchair/base	Other manual wheelchair/base
K0010	Standard - weight frame motorized/power wheelchair	Stnd wt frame power whlchr
K0011	"Standard - weight frame motorized/power wheelchair with programmable control parameters for speed adjustment, tremor dampening, acceleration control and braking"	Stnd wt pwr whlchr w control
K0012	Lightweight portable motorized/power wheelchair	Ltwt portbl power whlchr
K0013	Custom motorized/power wheelchair base	Custom power whlchr base
K0014	Other motorized/power wheelchair base	Other power whlchr base
K0015	"Detachable, non-adjustable height armrest, replacement only, each"	Detach non-adj ht armrst rep
K0017	"Detachable, adjustable height armrest, base, replacement only, each"	Detach adjust armrest base
K0018	"Detachable, adjustable height armrest, upper portion, replacement only, each"	Detach adjust armrst upper
K0019	"Arm pad, replacement only, each"	"Arm pad repl, each"
K0020	"Fixed, adjustable height armrest, pair"	Fixed adjust armrest pair
K0037	"High mount flip-up footrest, replacement only, each"	Hi mount flip-up ftrest repl
K0038	"Leg strap, each"	Leg strap each
K0039	"Leg strap, h style, each"	Leg strap h style each
K0040	"Adjustable angle footplate, each"	Adjustable angle footplate
K0041	"Large size footplate, each"	Large size footplate each
K0042	"Standard size footplate, replacement only, each"	Standard size ftplate rep ea
K0043	"Footrest, lower extension tube, replacement only, each"	Ftrst lowr exten tube rep ea
K0044	"Footrest, upper hanger bracket, replacement only, each"	Ftrst upr hanger brac rep ea
K0045	"Footrest, complete assembly, replacement only, each"	Ftrst compl assembly repl ea
K0046	"Elevating legrest, lower extension tube, replacement only, each"	Elev lgrst lwr exten repl ea
K0047	"Elevating legrest, upper hanger bracket, replacement only, each"	Elev legrst upr hangr rep ea
K0050	"Ratchet assembly, replacement only"	Ratchet assembly replacement
K0051	"Cam release assembly, footrest or legrest, replacement only, each"	Cam rel asm ft/legrst rep ea
K0052	"Swingaway, detachable footrests, replacement only, each"	Swingaway detach ftrest repl
K0053	"Elevating footrests, articulating (telescoping), each"	Elevate footrest articulate
K0056	"Seat height less than 17"" or equal to or greater than 21"" for a high strength, lightweight, or ultralightweight wheelchair"	Seat ht <17 or >=21 ltwt wc
K0065	"Spoke protectors, each"	Spoke protectors
K0069	"Rear wheel assembly, complete, with solid tire, spokes or molded, replacement only, each"	Rr whl compl sol tire rep ea
K0070	"Rear wheel assembly, complete, with pneumatic tire, spokes or molded, replacement only, each"	Rr whl compl pne tire rep ea
K0071	"Front caster assembly, complete, with pneumatic tire, replacement only, each"	Fr cstr comp pne tire rep ea
K0072	"Front caster assembly, complete, with semi-pneumatic tire, replacement only, each"	Fr cstr semi-pne tire rep ea
K0073	"Caster pin lock, each"	Caster pin lock each
K0077	"Front caster assembly, complete, with solid tire, replacement only, each"	Fr cstr asmb sol tire rep ea
K0098	"Drive belt for power wheelchair, replacement only"	"Drive belt for pwc, repl"
K0105	"Iv hanger, each"	Iv hanger
K0108	"Wheelchair component or accessory, not otherwise specified"	W/c component-accessory nos
K0195	"Elevating leg rests, pair (for use with capped rental wheelchair base)"	Elevating whlchair leg rests
K0455	"Infusion pump used for uninterrupted parenteral administration of medication, (e.g., epoprostenol or treprostinol)"	Pump uninterrupted infusion
K0462	"Temporary replacement for patient owned equipment being repaired, any type"	Temporary replacement eqpmnt
K0552	"Supplies for external non-insulin drug infusion pump, syringe type cartridge, sterile, each"	Sup/ext non-ins inf pump syr
K0553	"Supply allowance for therapeutic continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service"	Ther cgm supply allowance
K0554	"Receiver (monitor), dedicated, for use with therapeutic glucose continuous monitor system"	Ther cgm receiver/monitor
K0601	"Replacement battery for external infusion pump owned by patient, silver oxide, 1.5 volt, each"	Repl batt silver oxide 1.5 v
K0602	"Replacement battery for external infusion pump owned by patient, silver oxide, 3 volt, each"	Repl batt silver oxide 3 v
K0603	"Replacement battery for external infusion pump owned by patient, alkaline, 1.5 volt, each"	Repl batt alkaline 1.5 v
K0604	"Replacement battery for external infusion pump owned by patient, lithium, 3.6 volt, each"	Repl batt lithium 3.6 v
K0605	"Replacement battery for external infusion pump owned by patient, lithium, 4.5 volt, each"	Repl batt lithium 4.5 v
K0606	"Automatic external defibrillator, with integrated electrocardiogram analysis, garment type"	Aed garment w elec analysis
K0607	"Replacement battery for automated external defibrillator, garment type only, each"	Repl batt for aed
K0608	"Replacement garment for use with automated external defibrillator, each"	Repl garment for aed
K0609	"Replacement electrodes for use with automated external defibrillator, garment type only, each"	Repl electrode for aed
K0669	"Wheelchair accessory, wheelchair seat or back cushion, does not meet specific code criteria or no written coding verification from dme pdac"	Seat/back cus no dmepdac ver
K0672	"Addition to lower extremity orthosis, removable soft interface, all components, replacement only, each"	Removable soft interface le
K0730	Controlled dose inhalation drug delivery system	Ctrl dose inh drug deliv sys
K0733	"Power wheelchair accessory, 12 to 24 amp hour sealed lead acid battery, each (e.g., gel cell, absorbed glassmat)"	12-24hr sealed lead acid
K0738	"Portable gaseous oxygen system, rental; home compressor used to fill portable oxygen cylinders; includes portable containers, regulator, flowmeter, humidifier, cannula or mask, and tubing"	Portable gas oxygen system
K0739	"Repair or nonroutine service for durable medical equipment other than oxygen equipment requiring the skill of a technician, labor component, per 15 minutes"	Repair/svc dme non-oxygen eq
K0740	"Repair or nonroutine service for oxygen equipment requiring the skill of a technician, labor component, per 15 minutes"	Repair/svc oxygen equipment
K0743	"Suction pump, home model, portable, for use on wounds"	Portable home suction pump
K0744	"Absorptive wound dressing for use with suction pump, home model, portable, pad size 16 square inches or less"	Absorp drg <= 16 suc pump
K0745	"Absorptive wound dressing for use with suction pump, home model, portable, pad size more than 16 square inches but less than or equal to 48 square inches"	Absorp drg >16<=48 suc pump
K0746	"Absorptive wound dressing for use with suction pump, home model, portable, pad size greater than 48 square inches"	Absorp drg >48 suc pump
K0800	"Power operated vehicle, group 1 standard, patient weight capacity up to and including 300 pounds"	Pov group 1 std up to 300lbs
K0801	"Power operated vehicle, group 1 heavy duty, patient weight capacity 301 to 450 pounds"	Pov group 1 hd 301-450 lbs
K0802	"Power operated vehicle, group 1 very heavy duty, patient weight capacity 451 to 600 pounds"	Pov group 1 vhd 451-600 lbs
K0806	"Power operated vehicle, group 2 standard, patient weight capacity up to and including 300 pounds"	Pov group 2 std up to 300lbs
K0807	"Power operated vehicle, group 2 heavy duty, patient weight capacity 301 to 450 pounds"	Pov group 2 hd 301-450 lbs
K0808	"Power operated vehicle, group 2 very heavy duty, patient weight capacity 451 to 600 pounds"	Pov group 2 vhd 451-600 lbs
K0812	"Power operated vehicle, not otherwise classified"	Power operated vehicle noc
K0813	"Power wheelchair, group 1 standard, portable, sling/solid seat and back, patient weight capacity up to and including 300 pounds"	Pwc gp 1 std port seat/back
K0814	"Power wheelchair, group 1 standard, portable, captains chair, patient weight capacity up to and including 300 pounds"	Pwc gp 1 std port cap chair
K0815	"Power wheelchair, group 1 standard, sling/solid seat and back, patient weight capacity up to and including 300 pounds"	Pwc gp 1 std seat/back
K0816	"Power wheelchair, group 1 standard, captains chair, patient weight capacity up to and including 300 pounds"	Pwc gp 1 std cap chair
K0820	"Power wheelchair, group 2 standard, portable, sling/solid seat/back, patient weight capacity up to and including 300 pounds"	Pwc gp 2 std port seat/back
K0821	"Power wheelchair, group 2 standard, portable, captains chair, patient weight capacity up to and including 300 pounds"	Pwc gp 2 std port cap chair
K0822	"Power wheelchair, group 2 standard, sling/solid seat/back, patient weight capacity up to and including 300 pounds"	Pwc gp 2 std seat/back
K0823	"Power wheelchair, group 2 standard, captains chair, patient weight capacity up to and including 300 pounds"	Pwc gp 2 std cap chair
K0824	"Power wheelchair, group 2 heavy duty, sling/solid seat/back, patient weight capacity 301 to 450 pounds"	Pwc gp 2 hd seat/back
K0825	"Power wheelchair, group 2 heavy duty, captains chair, patient weight capacity 301 to 450 pounds"	Pwc gp 2 hd cap chair
K0826	"Power wheelchair, group 2 very heavy duty, sling/solid seat/back, patient weight capacity 451 to 600 pounds"	Pwc gp 2 vhd seat/back
K0827	"Power wheelchair, group 2 very heavy duty, captains chair, patient weight capacity 451 to 600 pounds"	Pwc gp vhd cap chair
K0828	"Power wheelchair, group 2 extra heavy duty, sling/solid seat/back, patient weight capacity 601 pounds or more"	Pwc gp 2 xtra hd seat/back
K0829	"Power wheelchair, group 2 extra heavy duty, captains chair, patient weight 601 pounds or more"	Pwc gp 2 xtra hd cap chair
K0830	"Power wheelchair, group 2 standard, seat elevator, sling/solid seat/back, patient weight capacity up to and including 300 pounds"	Pwc gp2 std seat elevate s/b
K0831	"Power wheelchair, group 2 standard, seat elevator, captains chair, patient weight capacity up to and including 300 pounds"	Pwc gp2 std seat elevate cap
K0835	"Power wheelchair, group 2 standard, single power option, sling/solid seat/back, patient weight capacity up to and including 300 pounds"	Pwc gp2 std sing pow opt s/b
K0836	"Power wheelchair, group 2 standard, single power option, captains chair, patient weight capacity up to and including 300 pounds"	Pwc gp2 std sing pow opt cap
K0837	"Power wheelchair, group 2 heavy duty, single power option, sling/solid seat/back, patient weight capacity 301 to 450 pounds"	Pwc gp 2 hd sing pow opt s/b
K0838	"Power wheelchair, group 2 heavy duty, single power option, captains chair, patient weight capacity 301 to 450 pounds"	Pwc gp 2 hd sing pow opt cap
K0839	"Power wheelchair, group 2 very heavy duty, single power option, sling/solid seat/back, patient weight capacity 451 to 600 pounds"	Pwc gp2 vhd sing pow opt s/b
K0840	"Power wheelchair, group 2 extra heavy duty, single power option, sling/solid seat/back, patient weight capacity 601 pounds or more"	Pwc gp2 xhd sing pow opt s/b
K0841	"Power wheelchair, group 2 standard, multiple power option, sling/solid seat/back, patient weight capacity up to and including 300 pounds"	Pwc gp2 std mult pow opt s/b
K0842	"Power wheelchair, group 2 standard, multiple power option, captains chair, patient weight capacity up to and including 300 pounds"	Pwc gp2 std mult pow opt cap
K0843	"Power wheelchair, group 2 heavy duty, multiple power option, sling/solid seat/back, patient weight capacity 301 to 450 pounds"	Pwc gp2 hd mult pow opt s/b
K0848	"Power wheelchair, group 3 standard, sling/solid seat/back, patient weight capacity up to and including 300 pounds"	Pwc gp 3 std seat/back
K0849	"Power wheelchair, group 3 standard, captains chair, patient weight capacity up to and including 300 pounds"	Pwc gp 3 std cap chair
K0850	"Power wheelchair, group 3 heavy duty, sling/solid seat/back, patient weight capacity 301 to 450 pounds"	Pwc gp 3 hd seat/back
K0851	"Power wheelchair, group 3 heavy duty, captains chair, patient weight capacity 301 to 450 pounds"	Pwc gp 3 hd cap chair
K0852	"Power wheelchair, group 3 very heavy duty, sling/solid seat/back, patient weight capacity 451 to 600 pounds"	Pwc gp 3 vhd seat/back
K0853	"Power wheelchair, group 3 very heavy duty, captains chair, patient weight capacity 451 to 600 pounds"	Pwc gp 3 vhd cap chair
K0854	"Power wheelchair, group 3 extra heavy duty, sling/solid seat/back, patient weight capacity 601 pounds or more"	Pwc gp 3 xhd seat/back
K0855	"Power wheelchair, group 3 extra heavy duty, captains chair, patient weight capacity 601 pounds or more"	Pwc gp 3 xhd cap chair
