A	ALIMENTARY TRACT AND METABOLISM
L01X E02	GEFITINIB
L01X E03	ERLOTINIB
L01X E04	SUNITINIB
L01X E05	SORAFENIB
L01X E06	DASATINIB
L01X E07	LAPATINIB
L01X E08	NILOTINIB
L01X E09	TEMSIROLIMUS
L01X E10	EVEROLIMUS
L01X E11	PAZOPANIB
L01X E12	VANDETANIB
L01X E13	AFATANIB
L01X E14	BOSUTINIB
L01X E15	VEMURAFENIB
L01X E16	CRIZOTINIB
L01X E17	AXITINIB
L01X E18	RUXOLITINIB
L01X E19	RIDAFOROLIMUS
L01X E21	REGORAFENIB
L01X E22	MASITINIB
L01X E23	DABRAFENIB
L01X E24	PONATINIB
L01X E25	TRAMETINIB
L01X E26	CABOZANTINIB
L01X E27	IBRUTINIB
L01X E28	CERITINIB
L01X E29	LENVATINIB
L01X E31	NINTEDANIB
L01X E32	CEDIRANIB
L01X E33	PALBOCICLIB
L01X E34	TIVOZANIB
L01X E35	OSIMERTINIB
L01X E36	ALECTINIB
L01X E37	ROCILETINIB
L01X E38	COBIMETINIB
L01X E39	MIDOSTAURIN
L01X E40	OLMUTINIB
L01X E41	BINIMETINIB
L01X E42	RIBOCICLIB
L01X E43	BRIGATINIB
L01X X	OTHER ANTINEOPLASTIC AGENTS
L01X X01	AMSACRINE
L01X X02	ASPARAGINASE
L01X X03	ALTRETAMINE
L01X X05	HYDROXYCARBAMIDE
L01X X07	LONIDAMINE
L01X X08	PENTOSTATIN
L01X X09	MILTEFOSINE
L01X X10	MASOPROCOL
L01X X11	ESTRAMUSTINE
L01X X13	DACARBAZINE
L01X X14	TRETINOIN
L01X X15	PORFIMER SODIUM - OLD CODE
L01X X16	MITOGUAZONE
L01X X17	TOPOTECAN
L01X X18	TIAZOFURINE
L01X X19	IRINOTECAN
L01X X21	RITUXIMAB
L01X X22	ALITRETINOIN
L01X X23	MITOTANE
L01X X24	PEGASPARGASE
L01X X25	BEXAROTENE
L01X X26	VERTEPORFIN - OLD CODE
L01X X27	ARSENIC TRIOXIDE
L01X X28	IMATINIB - OLD CODE
L01X X31	GEFITINIB - OLD CODE
L01X X32	BORTEZOMIB
L01X X33	CELECOXIB ????????????
L01X X34	ERLOTINIB - OLD CODE
L01X X35	ANAGRELIDE
L01X X36	OBLIMERSEN
L01X X37	SITIMAGENE CERADENOVEC
L01X X38	VORINOSTAT
L01X X39	ROMIDEPSIN
L01X X40	OMACETAXINE MEPESUCCINATE
L01X X41	ERIBULIN
L01X X42	PANOBINOSTAT
L01X X43	VISMODEGIB
L01X X44	AFLIBERCEPT
L01X X45	CARFILZOMIB
L01X X46	OLAPARIB
L01X X47	IDELALISIB
L01X X48	SONIDEGIB
L01X X49	BELINOSTAT
L01X X50	IXAZOMIB
L01X X51	TALIMOGENE LAHERPAREPVEC
L01X X52	VENETOCLAX
L01X X53	VOSAROXIN
L01X X54	NIRAPARIB
L01X X55	RUCAPARIB
L01X X56	ETIRINOTECAN PEGOL
L01X X57	PLITIDEPSIN
L01X Y	COMBINATIONS OF ANTINEOPLASTIC AGENTS
L02	ENDOCRINE THERAPY
L02A	HORMONES AND RELATED AGENTS
L02A A	ESTROGENS
L02A A01	DIETHYLSTILBESTROL
L02A A02	POLYESTRADIOL PHOSPHATE
L02A A03	ETHINYLESTRADIOL
L02A A04	FOSFESTROL
L02A B	PROGESTOGENS
L02A B01	MEGESTROL
L02A B02	MEDROXYPROGESTERONE
L02A B03	GESTONORONE
L02A E	GONADOTROPIN RELEASING HORMONE ANALOGUES
L02A E01	BUSERELIN
L02A E02	LEUPRORELIN
L02A E03	GOSERELIN
L02A E04	TRIPTORELIN
L02A E05	HISTRELIN
L02A X	OTHER HORMONES
L02B	HORMONE ANTAGONISTS AND RELATED AGENTS
L02B A	ANTI-ESTROGENS
L02B A01	TAMOXIFEN
L02B A02	TOREMIFENE
L02B A03	FULVESTRANT
L02B B	ANTI-ANDROGENS
L02B B01	FLUTAMIDE
L02B B02	NILUTAMIDE
L02B B03	BICALUTAMIDE
L02B B04	ENZALUTAMIDE
L02B G	AROMATASE INHIBITORS
L02B G01	AMINOGLUTHETIMIDE
L02B G02	FORMESTANE
L02B G03	ANASTROZOLE
L02B G04	LETROZOLE
L02B G05	VOROZOLE
L02B G06	EXEMESTANE
L02B X	OTHER HORMONE ANTAGONISTS AND RELATED AGENTS
L02B X01	ABARELIX
L02B X02	DEGARELIX
L02B X03	ABIRATERONE
L03	IMMUNOSTIMULANTS
L03A	IMMUNOMOSTIMULANTS
L03A A	COLONY STIMULATING FACTORS
L03A A01	INTERLEUKIN 2 - ALDESLEUKIN - OLD CODE
L03A A02	FILGRASTIM
L03A A03	MOLGRAMOSTIM
L03A A04	INTERFERON ALFA - NATURAL - OLD CODE
L03A A05	POLY I:C - OLD CODE
L03A A06	POLY ICLC - OLD CODE
L03A A07	THYMOPENTIN - OLD CODE
L03A A08	INTERFERON GAMMA - OLD CODE
L03A A09	SARGRAMOSTIM
L03A A10	LENOGRASTIM
L03A A11	INTERFERON BETA - NATURAL - OLD CODE
L03A A12	ANCESTIM
L03A A13	PEGFILGRASTIM
L03A A14	LIPEGFILGRASTIM
L03A A15	BALUGRASTIM
L03A A16	EMPEGFILGRASTIM
L03A A17	PEGTEOGRASTIM
L03A B	INTERFERONS
L03A B01	INTERFERON ALFA NATURAL
L03A B02	INTERFERON BETA NATURAL
L03A B03	INTERFERON GAMMA
L03A B04	INTERFERON ALFA-2A
L03A B05	INTERFERON ALFA-2B
L03A B06	INTERFERON ALFA-N1
L03A B07	INTERFERON BETA-1A
L03A B08	INTERFERON BETA-1B
L03A B09	INTERFERON ALFACON-1
L03A B10	PEGINTERFERON ALFA-2B
L03A B11	PEGINTERFERON ALFA-2A
L03A B12	ALBINTERFERON ALFA-2B
L03A B13	PEGINTERFERON BETA-1A
L03A B14	CEPEGINTERFERON ALFA-2B
L03A B15	ROPEGINTERFERON ALFA-2B
L03A B60	"PEGINTERFERON ALFA-2B, COMBINATIONS"
L03A B61	"PEGINTERFERON ALFA-2A, COMBINATIONS"
L03A C	INTERLEUKINS
L03A C01	ALDESLEUKIN
L03A C02	OPRELVEKIN
L03A X	OTHER IMMUNOMOSTIMULANTS
L03A X01	LENTINAN
L03A X02	ROQUINIMEX
L03A X03	BCG VACCINE
L03A X04	PEGADEMASE
L03A X05	PIDOTIMOD
L03A X07	POLY I:C
L03A X08	POLY ICLC
L03A X09	THYMOPENTIN
L03A X10	IMMUNOCYANIN
L03A X11	TASONERMIN
L03A X12	MELANOMA VACCINE
L03A X13	GLATIRAMER ACETATE
L03A X14	HISTAMINE DIHYDROCHLORIDE
L03A X15	MIFAMURTIDE
L03A X16	PLERIXAFOR
L03A X17	SIPULEUCEL-T
L03A X18	CRIDANIMOD
L03A X19	DASIPROTIMUT-T
L04	IMMUNOSUPPRESSANTS
L04A	IMMUNOSUPPRESSANTS
L04A A	SELECTIVE IMMUNOSUPPRESSANTS
L04A A01	CICLOSPORIN - OLD CODE
L04A A02	MUROMONAB-CD3
L04A A03	ANTILYMPHOCYTE IMMUNOGLOBULIN (HORSE)
L04A A04	ANTITHYMOCYTE IMMUNOGLOBULIN (RABBIT)
L04A A05	TACROLIMUS - OLD CODE
L04A A06	MYCOPHENOLIC ACID
L04A A07	GLATIRAMER ACETATE - OLD CODE
L04A A08	DACLIZUMAB - OLD CODE
L04A A09	BASILIXIMAB - OLD CODE
L04A A10	SIROLIMUS
L04A A11	ETANERCEPT - OLD CODE
L04A A12	INFLIXIMAB - OLD CODE
L04A A13	LEFLUNOMIDE
L04A A14	ANAKINRA - OLD CODE
L04A A15	ALEFACEPT
L04A A16	AFELIMOMAB - OLD CODE
L04A A17	ADALIMUMAB - OLD CODE
L04A A18	EVEROLIMUS
L04A A19	GUSPERIMUS
L04A A21	EFALIZUMAB
L04A A22	ABETIMUS
L04A A23	NATALIZUMAB
L04A A24	ABATACEPT
L04A A25	ECULIZUMAB
L04A A26	BELIMUMAB
L04A A27	FINGOLIMOD
L04A A28	BELATACEPT
L04A A29	TOFACITINIB
L04A A31	TERIFLUNOMIDE
L04A A32	APREMILAST
L04A A33	VEDOLIZUMAB
L04A A34	ALEMTUZUMAB
L04A A35	BEGELOMAB
L04A A36	OCRELIZUMAB
L04A A37	BARICITINIB
L04A B	TUMOR NECROSIS FACTOR ALFA (TNF-alfa) INHIBITORS
L04A B01	ETANERCEPT
L04A B02	INFLIXIMAB
L04A B03	AFELIMOMAB
L04A B04	ADALIMUMAB
L04A B05	CERTOLIZUMAB PEGOL
L04A B06	GOLIMUMAB
L04A C	INTERLEUKIN INHIBITORS
L04A C01	DACLIZUMAB
L04A C02	BASILIXIMAB
L04A C03	ANAKINRA
L04A C04	RILONACEPT
L04A C05	USTEKINUMAB
L04A C06	MEPOLIZUMAB - OLD CODE
L04A C07	TOCILIZUMAB
L04A C08	CANAKINUMAB
L04A C09	BRIAKINUMAB
L04A C10	SECUKINUMAB
L04A C11	SILTUXIMAB
L04A C12	BRODALUMAB
L04A C13	IXEKIZUMAB
L04A C14	SARILUMAB
L04A C15	SIRUKUMAB
L04A C16	GUSELKUMAB
L04A D	CALCINEURIN INHIBITORS
L04A D01	CICLOSPORIN
L04A D02	TACROLIMUS
L04A D03	VOCLOSPORIN
L04A X	OTHER IMMUNOSUPPRESSANTS
L04A X01	AZATHIOPRINE
L04A X02	THALIDOMIDE
L04A X03	METHOTREXATE - ORAL FORMULATIONS
L04A X04	LENALIDOMIDE
L04A X05	PIRFENIDONE
L04A X06	POMALIDOMIDE
M	MUSCULO-SKELETAL SYSTEM
M01	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
M01A	"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
M01A A	BUTYLPYRAZOLIDINES
M01A A01	PHENYLBUTAZONE
M01A A02	MOFEBUTAZONE
M01A A03	OXYPHENBUTAZONE
M01A A05	CLOFEZONE
M01A A06	KEBUZONE
M01A B	ACETIC ACID DERIVATIVES AND RELATED SUBSTANCES
M01A B01	INDOMETACIN
M01A B02	SULINDAC
M01A B03	TOLMETIN
M01A B04	ZOMEPIRAC
M01A B05	DICLOFENAC
M01A B06	ALCLOFENAC
M01A B07	BUMADIZONE
M01A B08	ETODOLAC
M01A B09	LONAZOLAC
M01A B10	FENTIAZAC
M01A B11	ACEMETACIN
M01A B12	DIFENPIRAMIDE
M01A B13	OXAMETACIN
M01A B14	PROGLUMETACIN
M01A B15	KETOROLAC
M01A B16	ACECLOFENAC
M01A B17	BUFEXAMAC
M01A B51	"INDOMETACIN, COMBINATIONS"
M01A B55	"DICLOFENAC, COMBINATIONS"
M01A C	OXICAMS
M01A C01	PIROXICAM
M01A C02	TENOXICAM
M01A C04	DROXICAM
M01A C05	LORNOXICAM
M01A C06	MELOXICAM
M01A C56	"MELOXICAM, COMBINATIONS"
M01A E	PROPIONIC ACID DERIVATIVES
M01A E01	IBUPROFEN
M01A E02	NAPROXEN
M01A E03	KETOPROFEN
M01A E04	FENOPROFEN
M01A E05	FENBUFEN
M01A E06	BENOXAPROFEN
M01A E07	SUPROFEN
M01A E08	PIRPROFEN
M01A E09	FLURBIPROFEN
M01A E10	INDOPROFEN
M01A E11	TIAPROFENIC ACID
M01A E12	OXAPROZIN
M01A E13	IBUPROXAM
M01A E14	DEXIBUPROFEN
M01A E15	FLUNOXAPROFEN
M01A E16	ALMINOPROFEN
M01A E17	DEXKETOPROFEN
M01A E18	NAPROXCINOD
M01A E51	"IBUPROFEN, COMBINATIONS - OLD CODE"
M01A E52	NAPROXEN AND ESOMEPRAZOLE
M01A E53	"KETOPROFEN, COMBINATIONS"
M01A E56	NAPROXEN AND MISOPROSTOL
M01A G	FENAMATES
M01A G01	MEFENAMIC ACID
M01A G02	TOLFENAMIC ACID
M01A G03	FLUFENAMIC ACID
M01A G04	MECLOFENAMIC ACID
M01A H	COXIBS
M01A H01	CELECOXIB
M01A H02	ROFECOXIB
M01A H03	VALDECOXIB
M01A H04	PARECOXIB
M01A H05	ETORICOXIB
M01A H06	LUMIRACOXIB
M01A H07	POLMACOXIB
M01A X	"OTHER ANTIINFLAMMATORY AND ANTIRHEUMATIC AGENTS, NON-STEROIDS"
M01A X01	NABUMETONE
M01A X02	NIFLUMIC ACID
M01A X04	AZAPROPAZONE
M01A X05	GLUCOSAMINE
M01A X07	BENZYDAMINE
M01A X12	GLUCOSAMINOGLYCAN POLYSULFATE
M01A X13	PROQUAZONE
M01A X14	ORGOTEIN
M01A X17	NIMESULIDE
M01A X18	FEPRAZONE
M01A X21	DIACEREIN
M01A X22	MORNIFLUMATE
M01A X23	TENIDAP
M01A X24	OXACEPROL
M01A X25	CHONDROITIN SULFATE
M01A X26	"AVOCADO AND SOYABEAN OIL, UNSAPONIFIABLES"
M01A X68	"FEPRAZONE, COMBINATIONS"
M01B	ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION
M01B A	ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION WITH CORTICOSTEROIDS
M01B A01	PHENYLBUTAZONE AND CORTICOSTEROIDS
M01B A02	DIPYROCETYL AND CORTICOSTEROIDS
M01B A03	ACETYLSALICYLIC ACID AND CORTICOSTEROIDS
M01B X	OTHER ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION WITH OTHER DRUGS
M01C	SPECIFIC ANTIRHEUMATIC AGENTS
M01C A	QUINOLINES
M01C A03	OXYCINCHOPHEN
M01C B	GOLD PREPARATIONS
M01C B01	SODIUM AUROTHIOMALATE
M01C B02	SODIUM AUROTHIOSULFATE
M01C B03	AURANOFIN
M01C B04	AUROTHIOGLUCOSE
M01C B05	AUROTIOPROL
M01C C	PENICILLAMINE AND SIMILAR AGENTS
M01C C01	PENICILLAMINE
M01C C02	BUCILLAMINE
M01C X	OTHER SPECIFIC ANTIRHEUMATIC AGENTS
M02	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
M02A	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
M02A A	"ANTIINFLAMMATORY PREPARATIONS, NON-STEROIDS FOR TOPICAL USE"
M02A A01	PHENYLBUTAZONE
M02A A02	MOFEBUTAZONE
M02A A03	CLOFEZONE
M02A A04	OXYPHENBUTAZONE
M02A A05	BENZYDAMINE
M02A A06	ETOFENAMATE
M02A A07	PIROXICAM
M02A A08	FELBINAC
M02A A09	BUFEXAMAC
M02A A10	KETOPROFEN
M02A A11	BENDAZAC
M02A A12	NAPROXEN
M02A A13	IBUPROFEN
M02A A14	FENTIAZAC
M02A A15	DICLOFENAC
M02A A16	FEPRAZONE
M02A A17	NIFLUMIC ACID
M02A A18	MECLOFENAMIC ACID
M02A A19	FLURBIPROFEN
M02A A21	TOLMETIN
M02A A22	SUXIBUZONE
M02A A23	INDOMETACIN
M02A A25	ACECLOFENAC
M02A A26	NIMESULIDE
M02A A27	DEXKETOPROFEN
M02A A28	PIKETOPROFEN
M02A B	CAPSAICIN AND SIMILAR AGENTS
M02A B01	CAPSAICIN
M02A B02	ZUCAPSAICIN
M02A C	PREPARATIONS WITH SALICYLIC ACID DERIVATIVES
M02A X	OTHER TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
M02A X02	TOLAZOLINE
M02A X03	DIMETHYL SULFOXIDE
M02A X05	IDROCILAMIDE
M02A X06	TOLPERISONE
M02A X10	VARIOUS
M03	MUSCLE RELAXANTS
M03A	"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS"
M03A A	CURARE ALKALOIDS
M03A A01	ALCURONIUM
M03A A02	TUBOCURARINE
M03A A04	DIMETHYLTUBOCURARINE
M03A B	CHOLINE DERIVATIVES
M03A B01	SUXAMETHONIUM
M03A C	OTHER QUATERNARY AMMONIUM COMPOUNDS
M03A C01	PANCURONIUM
M03A C02	GALLAMINE
M03A C03	VECURONIUM
M03A C04	ATRACURIUM
M03A C05	HEXAFLURONIUM
M03A C06	PIPECURONIUM BROMIDE
M03A C07	DOXACURIUM CHLORIDE
M03A C08	FAZADINIUM BROMIDE
M03A C09	ROCURONIUM BROMIDE
M03A C10	MIVACURIUM CHLORIDE
M03A C11	CISATRACURIUM
M03A X	"OTHER MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS"
M03A X01	BOTULINUM TOXIN
M03B	"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS"
M03B A	CARBAMIC ACID ESTERS
M03B A01	PHENPROBAMATE
M03B A02	CARISOPRODOL
M03B A03	METHOCARBAMOL
M03B A04	STYRAMATE
M03B A05	FEBARBAMATE
M03B A51	"PHENPROBAMATE, COMBINATIONS EXCL. PSYCHOLEPTICS"
M03B A52	"CARISOPRODOL, COMBINATIONS EXCL. PSYCHOLEPTICS"
M03B A53	"METHOCARBAMOL, COMBINATIONS EXCL. PSYCHOLEPTICS"
M03B A71	"PHENPROBAMATE, COMBINATIONS WITH PSYCHOLEPTICS"
M03B A72	"CARISOPRODOL, COMBINATIONS WITH PSYCHOLEPTICS"
M03B A73	"METHOCARBAMOL, COMBINATIONS WITH PSYCHOLEPTICS"
M03B B	"OXAZOL, THIAZINE, AND TRIAZINE DERIVATIVES"
M03B B02	CHLORMEZANONE
M03B B03	CHLORZOXAZONE
M03B B52	"CHLORMEZANONE, COMBINATIONS EXCL. PSYCHOLEPTICS"
M03B B53	"CHLORZOXAZONE, COMBINATIONS EXCL. PSYCHOLEPTICS"
M03B B72	"CHLORMEZANONE, COMBINATIONS WITH PSYCHOLEPTICS"
M03B B73	"CHLORZOXAZONE, COMBINATIONS WITH PSYCHOLEPTICS"
M03B C	"ETHERS, CHEMICALLY CLOSE TO ANTIHISTAMINES"
M03B C01	ORPHENADRINE (CITRATE)
M03B C51	"ORPHENADRINE, COMBINATIONS"
M03B X	OTHER CENTRALLY ACTING AGENTS
M03B X01	BACLOFEN
M03B X02	TIZANIDINE
M03B X03	PRIDINOL
M03B X04	TOLPERISONE
M03B X05	THIOCOLCHICOSIDE
M03B X06	MEPHENESIN
M03B X07	TETRAZEPAM
M03B X08	CYCLOBENZAPRINE
M03B X09	EPERISONE
M03B X30	PHENYRAMIDOL
M03B X55	"THIOCOLCHICOSIDE, COMBINATIONS"
M03C	"MUSCLE RELAXANTS, DIRECTLY ACTING AGENTS"
M03C A	DANTROLENE AND DERIVATIVES
M03C A01	DANTROLENE
M04	ANTIGOUT PREPARATIONS
M04A	ANTIGOUT PREPARATIONS
M04A A	PREPARATIONS INHIBITING URIC ACID PRODUCTION
M04A A01	ALLOPURINOL
M04A A02	TISOPURINE
M04A A03	FEBUXOSTAT
M04A A51	"ALLOPURINOL, COMBINATIONS"
M04A B	PREPARATIONS INCREASING URIC ACID EXCRETION
M04A B01	PROBENECID
M04A B02	SULFINPYRAZONE
M04A B03	BENZBROMARONE
M04A B04	ISOBROMINDIONE
M04A B05	LESINURAD
M04A C	PREPARATIONS WITH NO EFFECT ON URIC ACID METABOLISM
M04A C01	COLCHICINE
M04A C02	CINCHOPHEN
M04A X	OTHER ANTIGOUT PREPARATIONS
M04A X01	URATE OXIDASE
M04A X02	PEGLOTICASE
M05	DRUGS FOR TREATMENT OF BONE DISEASES
M05B	DRUGS AFFECTING MINERALIZATION
M05B A	BISPHOSPHONATES
M05B A01	ETIDRONIC ACID
M05B A02	CLODRONIC ACID
M05B A03	PAMIDRONIC ACID
M05B A04	ALENDRONIC ACID
M05B A05	TILUDRONIC ACID
M05B A06	IBANDRONIC ACID
M05B A07	RISEDRONIC ACID
M05B A08	ZOLEDRONIC ACID
M05B B	"BISPHOSPHONATES, COMBINATIONS"
M05B B01	"ETIDRONIC ACID AND CALCIUM, SEQUENTIAL"
M05B B02	"RISEDRONIC ACID AND CALCIUM, SEQUENTIAL"
M05B B03	ALENDRONIC ACID AND COLECALCIFEROL
M05B B04	"RISEDRONIC ACID, CALCIUM AND COLECALCIFEROL, SEQUENTIAL"
M05B B05	"ALENDRONIC ACID, CALCIUM AND COLECALCIFEROL, SEQUENTIAL"
M05B B06	"ALENDRONIC ACID AND ALFACALCIDOL, SEQUENTIAL"
M05B B07	RISEDRONIC ACID AND COLECALCIFEROL
M05B B08	"ZOLEDRONIC ACID, CALCIUM AND COLECALCIFEROL, SEQUENTIAL"
M05B C	BONE MORPHOGENETIC PROTEINS
M05B C01	DIBOTERMIN ALFA
M05B C02	EPTOTERMIN ALFA
M05B X	OTHER DRUGS AFFECTING MINERALIZATION
M05B X01	IPRIFLAVONE
M05B X02	ALUMINIUM CHLOROHYDRATE
M05B X03	STRONTIUM RANELATE
M05B X04	DENOSUMAB
M05B X05	BUROSUMAB
M05B X06	ROMOSOZUMAB
M05B X53	STRONTIUM RANELATE AND COLECALCIFEROL
M09	OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM
M09A	OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM
M09A A	QUININE AND DERIVATIVES
M09A A01	HYDROQUININE
M09A A72	"QUININE, COMBINATIONS WITH PSYCHOLEPTICS"
M09A B	ENZYMES
M09A B01	CHYMOPAPAIN
M09A B02	COLLAGENASE CLOSTRIDIUM HISTOLYTICUM
M09A B03	BROMELAINS
M09A B52	"TRYPSIN, COMBINATIONS"
M09A X	OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM
M09A X01	HYALURONIC ACID
M09A X02	"CHONDROCYTES, AUTOLOGOUS"
M09A X03	ATALUREN
M09A X04	DRISAPERSEN
M09A X05	ACENEURAMIC ACID
M09A X06	ETEPLIRSEN
M09A X07	NUSINERSEN
N	NERVOUS SYSTEM
N0	NERVOUS SYSTEM
N01	ANESTHETICS
N01A	"ANESTHETICS, GENERAL"
N01A A	ETHERS
N01A A01	DIETHYL ETHER
N01A A02	VINYL ETHER
N01A B	HALOGENATED HYDROCARBONS
N01A B01	HALOTHANE
N01A B02	CHLOROFORM
N01A B03	METHOXYFLURANE - OLD CODE
N01A B04	ENFLURANE
N01A B05	TRICHLOROETHYLENE
N01A B06	ISOFLURANE
N01A B07	DESFLURANE
N01A B08	SEVOFLURANE
N01A F	"BARBITURATES, PLAIN"
N01A F01	METHOHEXITAL
N01A F02	HEXOBARBITAL
N01A F03	THIOPENTAL
N01A G	BARBITURATES IN COMBINATION WITH OTHER DRUGS
N01A G01	NARCOBARBITAL
N01A H	OPIOID ANESTHETICS
N01A H01	FENTANYL
N01A H02	ALFENTANIL
N01A H03	SUFENTANIL
N01A H04	PHENOPERIDINE
N01A H05	ANILERIDINE
N01A H06	REMIFENTANIL
N01A H51	"FENTANYL, COMBINATIONS"
N01A X	OTHER GENERAL ANESTHETICS
N01A X01	DROPERIDOL - OLD CODE
N01A X03	KETAMINE
N01A X04	PROPANIDID
N01A X05	ALFAXALONE
N01A X07	ETOMIDATE
N01A X10	PROPOFOL
N01A X11	SODIUM OXYBATE
N01A X13	NITROUS OXIDE
N01A X14	ESKETAMINE
N01A X15	XENON
N01A X63	"NITROUS OXIDE, COMBINATIONS"
N01B	"ANESTHETICS, LOCAL"
N01B A	ESTERS OF AMINOBENZOIC ACID
N01B A01	METABUTETHAMINE
N01B A02	PROCAINE
N01B A03	TETRACAINE
N01B A04	CHLOROPROCAINE
N01B A05	BENZOCAINE
N01B A52	"PROCAINE, COMBINATIONS"
N01B A53	"TETRACAINE, COMBINATIONS"
N01B B	AMIDES
N01B B01	BUPIVACAINE
N01B B02	LIDOCAINE
N01B B03	MEPIVACAINE
N01B B04	PRILOCAINE
N01B B05	BUTANILICAINE
N01B B06	CINCHOCAINE
N01B B07	ETIDOCAINE
N01B B08	ARTICAINE
N01B B09	ROPIVACAINE
N01B B10	LEVOBUPIVACAINE
N01B B20	COMBINATIONS
N01B B51	"BUPIVACAINE, COMBINATIONS"
N01B B52	"LIDOCAINE, COMBINATIONS"
N01B B53	"MEPIVACAINE, COMBINATIONS"
N01B B54	"PRILOCAINE, COMBINATIONS"
N01B B57	"ETIDOCAINE, COMBINATIONS"
N01B B58	"ARTICAINE, COMBINATIONS"
N01B C	ESTERS OF BENZOIC ACID
N01B C01	COCAINE
N01B X	OTHER LOCAL ANESTHETICS
N01B X01	ETHYL CHLORIDE
N01B X02	DYCLONINE
N01B X03	PHENOL
N01B X04	CAPSAICIN
N02	ANALGESICS
N02A	OPIOIDS
N02A A	NATURAL OPIUM ALKALOIDS
N02A A01	MORPHINE
N02A A02	OPIUM
N02A A03	HYDROMORPHONE
N02A A04	NICOMORPHINE
N02A A05	OXYCODONE
N02A A08	DIHYDROCODEINE
N02A A09	DIAMORPHINE - OLD CODE
N02A A10	PAPAVERETUM
N02A A51	"MORPHINE, COMBINATIONS"
N02A A53	HYDROMORPHONE AND NALOXONE
N02A A55	OXYCODONE AND NALOXONE
N02A A56	OXYCODONE AND NALTREXONE
N02A A58	"DIHYDROCODEINE, COMBINATIONS - OLD CODE"
N02A A59	"CODEINE, COMBINATIONS EXCL. PSYCHOLEPTICS - OLD CODE"
N02A A71	MORPHINE TARTRATE AND CYCLIZINE
N02A A79	"CODEINE, COMBINATIONS WITH PSYCHOLEPTICS"
N02A B	PHENYLPIPERIDINE DERIVATIVES
N02A B01	KETOBEMIDONE
N02A B02	PETHIDINE
N02A B03	FENTANYL
N02A B52	"PETHIDINE, COMBINATIONS EXCL. PSYCHOLEPTICS"
N02A B72	"PETHIDINE, COMBINATIONS WITH PSYCHOLEPTICS"
N02A C	DIPHENYLPROPYLAMINE DERIVATIVES
N02A C01	DEXTROMORAMIDE
N02A C02	METHADONE - OLD CODE
N02A C03	PIRITRAMIDE
N02A C04	DEXTROPROPOXYPHENE
N02A C05	BEZITRAMIDE
N02A C06	LEVACETYLMETHADOL - OLD CODE
N02A C52	"METHADONE, COMBINATIONS EXCL. PSYCHOLEPTICS"
N02A C54	"DEXTROPROPOXYPHENE, COMBINATIONS EXCL. PSYCHOLEPTICS"
N02A C74	"DEXTROPROPOXYPHENE, COMBINATIONS WITH PSYCHOLEPTICS"
N02A D	BENZOMORPHAN DERIVATIVES
N02A D01	PENTAZOCINE
N02A D02	PHENAZOCINE
N02A E	ORIPAVINE DERIVATIVES
N02A E01	BUPRENORPHINE
N02A F	MORPHINAN DERIVATIVES
N02A F01	BUTORPHANOL
N02A F02	NALBUFINE
N02A G	OPIOIDS IN COMBINATION WITH ANTISPASMODICS
N02A G01	MORPHINE AND ANTISPASMODICS
N02A G02	KETOBEMIDONE AND ANTISPASMODICS
N02A G03	PETHIDINE AND ANTISPASMODICS
N02A G04	HYDROMORPHONE AND ANTISPASMODICS
N02A J	OPIOIDS IN COMBINATION WITH NON-OPIOID ANALGESICS
N02A J01	DIHYDROCODEINE AND PARACETAMOL
N02A J02	DIHYDROCODEINE AND ACETYLSALICYLIC ACID
N02A J03	DIHYDROCODEINE AND OTHER NON-OPIOID ANALGESICS
N02A J06	CODEINE AND PARACETAMOL
N02A J07	CODEINE AND ACETYLSALICYLIC ACID
N02A J08	CODEINE AND IBUPROFEN
N02A J09	CODEINE AND OTHER NON-OPIOID ANALGESICS
N02A J13	TRAMADOL AND PARACETAMOL
N02A J14	TRAMADOL AND DEXKETOPROFEN
N02A J15	TRAMADOL AND OTHER NON-OPIOID ANALGESICS
N02A J17	OXYCODONE AND PARACETAMOL
N02A J18	OXYCODONE AND ACETYLSALICYLIC ACID
N02A J19	OXYCODONE AND IBUPROFEN
N02A X	OTHER OPIOIDS
N02A X01	TILIDINE
N02A X02	TRAMADOL
N02A X03	DEZOCINE
N02A X05	MEPTAZINOL
N02A X06	TAPENTADOL
N02A X52	"TRAMADOL, COMBINATIONS - OLD CODE"
N02B	OTHER ANALGESICS AND ANTIPYRETICS
N02B A	SALICYLIC ACID AND DERIVATIVES
